timestamp,source_ip,trap_type,varbinds
2026-07-04T11:00:55.533991,unknown,linkDown,"{'1.3.6.1.2.1.1.3.0': '68066', '1.3.6.1.6.3.1.1.4.1.0': '1.3.6.1.6.3.1.1.5.3', '1.3.6.1.2.1.2.2.1.1.2': '2'}"
2026-07-04T11:17:09.197556,unknown,linkDown,"{'1.3.6.1.2.1.1.3.0': '165432', '1.3.6.1.6.3.1.1.4.1.0': '1.3.6.1.6.3.1.1.5.3', '1.3.6.1.2.1.2.2.1.1.2': '2'}"
2026-07-04T11:41:40.886108,unknown,linkDown,"{'1.3.6.1.2.1.1.3.0': '312601', '1.3.6.1.6.3.1.1.4.1.0': '1.3.6.1.6.3.1.1.5.3', '1.3.6.1.2.1.2.2.1.1.2': '2'}"
2026-07-04T12:10:01.884765,unknown,linkDown,"{'1.3.6.1.2.1.1.3.0': '482701', '1.3.6.1.6.3.1.1.4.1.0': '1.3.6.1.6.3.1.1.5.3', '1.3.6.1.2.1.2.2.1.1.2': '2'}"
