src_ip,dst_ip,src_port,dst_port,protocol,start_time,end_time,duration_seconds,packet_count,byte_count,termination_reason
192.168.1.9,192.168.1.255,39470,15600,UDP,1789895284.62486,1789895284.62486,0.0,1,77,end_of_capture
192.168.1.6,192.168.1.13,0,0,ICMP,1789895427.495996,1789895457.625109,30.12911295890808,31,3038,end_of_capture
192.168.1.13,192.168.1.6,0,0,ICMP,1789895427.514829,1789895457.641942,30.127113103866577,31,3038,end_of_capture
192.168.1.8,239.255.255.250,46299,1900,UDP,1789895287.221906,1789895287.221948,4.1961669921875e-05,3,1373,end_of_capture
192.168.1.8,239.255.255.250,35000,1900,UDP,1789895287.22195,1789895287.22195,0.0,1,484,end_of_capture
192.168.1.6,104.18.19.125,53294,443,TCP,1789895437.28284,1789895437.704645,0.42180490493774414,4,1451,end_of_capture
192.168.1.8,239.255.255.250,45073,1900,UDP,1789895287.318614,1789895287.318619,5.0067901611328125e-06,3,1373,end_of_capture
192.168.1.8,239.255.255.250,46286,1900,UDP,1789895287.318621,1789895287.318621,0.0,1,484,end_of_capture
104.18.19.125,192.168.1.6,443,53294,TCP,1789895437.353315,1789895437.748896,0.3955807685852051,3,279,end_of_capture
192.168.1.9,239.255.255.250,55449,15600,UDP,1789895287.615977,1789895287.615977,0.0,1,77,end_of_capture
192.168.1.8,239.255.255.250,38596,1900,UDP,1789895288.934877,1789895288.93488,3.0994415283203125e-06,3,1369,end_of_capture
192.168.1.8,239.255.255.250,36710,1900,UDP,1789895288.934881,1789895288.934881,0.0,1,474,end_of_capture
192.168.1.8,239.255.255.250,56397,1900,UDP,1789895288.934882,1789895288.934882,0.0,1,478,end_of_capture
192.168.1.8,239.255.255.250,39805,1900,UDP,1789895288.934883,1789895288.934883,0.0,1,496,end_of_capture
192.168.1.8,239.255.255.250,59351,1900,UDP,1789895288.934884,1789895288.934884,0.0,1,478,end_of_capture
192.168.1.8,239.255.255.250,39348,1900,UDP,1789895288.934885,1789895288.934885,0.0,1,482,end_of_capture
192.168.1.8,239.255.255.250,47324,1900,UDP,1789895288.934886,1789895288.934888,1.9073486328125e-06,3,1369,end_of_capture
192.168.1.8,239.255.255.250,42593,1900,UDP,1789895288.934888,1789895288.934888,0.0,1,474,end_of_capture
192.168.1.8,239.255.255.250,35084,1900,UDP,1789895288.934889,1789895288.934889,0.0,1,478,end_of_capture
192.168.1.8,239.255.255.250,34001,1900,UDP,1789895288.93489,1789895288.93489,0.0,1,496,end_of_capture
192.168.1.8,239.255.255.250,35636,1900,UDP,1789895288.934891,1789895288.934891,0.0,1,478,end_of_capture
192.168.1.8,239.255.255.250,44854,1900,UDP,1789895288.934891,1789895288.934891,0.0,1,482,end_of_capture
192.168.1.6,3.233.223.219,50533,443,TCP,1789895289.245307,1789895289.839169,0.5938620567321777,4,1557,end_of_capture
3.233.223.219,192.168.1.6,443,50533,TCP,1789895289.393378,1789895289.968304,0.5749258995056152,4,559,end_of_capture
192.168.1.8,239.255.255.250,57520,1900,UDP,1789895290.400598,1789895290.400603,5.0067901611328125e-06,3,1373,end_of_capture
192.168.1.8,239.255.255.250,59761,1900,UDP,1789895290.400604,1789895290.400604,0.0,1,478,end_of_capture
192.168.1.8,239.255.255.250,38864,1900,UDP,1789895290.400605,1789895290.400605,0.0,1,474,end_of_capture
192.168.1.8,239.255.255.250,46706,1900,UDP,1789895290.400606,1789895290.400606,0.0,1,474,end_of_capture
192.168.1.8,239.255.255.250,57124,1900,UDP,1789895290.498475,1789895290.501342,0.002866983413696289,3,1373,end_of_capture
192.168.1.8,239.255.255.250,41199,1900,UDP,1789895290.501344,1789895290.501344,0.0,1,478,end_of_capture
192.168.1.8,239.255.255.250,50354,1900,UDP,1789895290.503758,1789895290.503758,0.0,1,474,end_of_capture
192.168.1.8,239.255.255.250,50399,1900,UDP,1789895290.50376,1789895290.50376,0.0,1,474,end_of_capture
192.168.1.9,192.168.1.255,45276,15600,UDP,1789895290.666132,1789895290.666132,0.0,1,77,end_of_capture
192.168.1.9,239.255.255.250,43671,15600,UDP,1789895293.641005,1789895293.641005,0.0,1,77,end_of_capture
192.168.1.9,192.168.1.255,40965,15600,UDP,1789895296.710445,1789895296.710445,0.0,1,77,end_of_capture
192.168.1.9,239.255.255.250,34127,15600,UDP,1789895299.682077,1789895299.682077,0.0,1,77,end_of_capture
192.168.1.8,239.255.255.250,59504,1900,UDP,1789895301.628919,1789895301.628925,6.198883056640625e-06,3,1371,end_of_capture
192.168.1.8,239.255.255.250,51035,1900,UDP,1789895301.628927,1789895301.628927,0.0,1,482,end_of_capture
192.168.1.8,239.255.255.250,44402,1900,UDP,1789895301.628929,1789895301.628932,3.0994415283203125e-06,3,1371,end_of_capture
192.168.1.8,239.255.255.250,48799,1900,UDP,1789895301.628933,1789895301.628933,0.0,1,482,end_of_capture
192.168.1.9,192.168.1.255,47312,15600,UDP,1789895302.652254,1789895302.652254,0.0,1,77,end_of_capture
192.168.1.6,3.222.88.17,50532,443,TCP,1789895440.357943,1789895440.357943,0.0,1,54,end_of_capture
3.222.88.17,192.168.1.6,443,50532,TCP,1789895440.496472,1789895440.496472,0.0,1,66,end_of_capture
192.168.1.9,239.255.255.250,59283,15600,UDP,1789895305.723755,1789895305.723755,0.0,1,77,end_of_capture
192.168.1.8,239.255.255.250,53604,1900,UDP,1789895307.978126,1789895307.978132,5.9604644775390625e-06,3,1369,end_of_capture
192.168.1.8,239.255.255.250,53839,1900,UDP,1789895307.978135,1789895307.978135,0.0,1,474,end_of_capture
192.168.1.8,239.255.255.250,58585,1900,UDP,1789895307.978137,1789895307.978137,0.0,1,478,end_of_capture
192.168.1.8,239.255.255.250,39475,1900,UDP,1789895307.978139,1789895307.978139,0.0,1,496,end_of_capture
192.168.1.8,239.255.255.250,35871,1900,UDP,1789895307.978141,1789895307.978141,0.0,1,478,end_of_capture
192.168.1.8,239.255.255.250,33921,1900,UDP,1789895307.978142,1789895307.978142,0.0,1,482,end_of_capture
192.168.1.8,239.255.255.250,54261,1900,UDP,1789895308.033643,1789895308.033649,5.9604644775390625e-06,3,1369,end_of_capture
192.168.1.8,239.255.255.250,46183,1900,UDP,1789895308.03365,1789895308.03365,0.0,1,474,end_of_capture
192.168.1.8,239.255.255.250,36727,1900,UDP,1789895308.033653,1789895308.033653,0.0,1,478,end_of_capture
192.168.1.8,239.255.255.250,46050,1900,UDP,1789895308.036079,1789895308.036079,0.0,1,496,end_of_capture
192.168.1.8,239.255.255.250,47930,1900,UDP,1789895308.036082,1789895308.036082,0.0,1,478,end_of_capture
192.168.1.8,239.255.255.250,52030,1900,UDP,1789895308.036084,1789895308.036084,0.0,1,482,end_of_capture
192.168.1.9,192.168.1.255,35456,15600,UDP,1789895308.694176,1789895308.694176,0.0,1,77,end_of_capture
192.168.1.8,239.255.255.250,42508,1900,UDP,1789895309.32326,1789895309.323267,6.9141387939453125e-06,3,1373,end_of_capture
192.168.1.8,239.255.255.250,56051,1900,UDP,1789895309.323269,1789895309.323269,0.0,1,484,end_of_capture
192.168.1.8,239.255.255.250,48240,1900,UDP,1789895309.421466,1789895309.421472,5.9604644775390625e-06,3,1373,end_of_capture
192.168.1.8,239.255.255.250,54717,1900,UDP,1789895309.421474,1789895309.421474,0.0,1,484,end_of_capture
192.168.1.9,239.255.255.250,59403,15600,UDP,1789895311.663252,1789895311.663252,0.0,1,77,end_of_capture
192.168.1.8,239.255.255.250,47895,1900,UDP,1789895312.502827,1789895312.502832,5.0067901611328125e-06,3,1373,end_of_capture
192.168.1.8,239.255.255.250,39902,1900,UDP,1789895312.502834,1789895312.502834,0.0,1,478,end_of_capture
192.168.1.8,239.255.255.250,57191,1900,UDP,1789895312.502836,1789895312.502836,0.0,1,474,end_of_capture
192.168.1.8,239.255.255.250,46562,1900,UDP,1789895312.502839,1789895312.502839,0.0,1,474,end_of_capture
192.168.1.8,239.255.255.250,41671,1900,UDP,1789895312.604522,1789895312.604529,6.9141387939453125e-06,3,1373,end_of_capture
192.168.1.8,239.255.255.250,60857,1900,UDP,1789895312.604531,1789895312.604531,0.0,1,478,end_of_capture
192.168.1.8,239.255.255.250,37162,1900,UDP,1789895312.604534,1789895312.604534,0.0,1,474,end_of_capture
192.168.1.8,239.255.255.250,56478,1900,UDP,1789895312.604537,1789895312.604537,0.0,1,474,end_of_capture
192.168.1.6,50.17.194.101,62374,443,TCP,1789895449.360936,1789895449.360936,0.0,1,54,end_of_capture
50.17.194.101,192.168.1.6,443,62374,TCP,1789895449.503151,1789895449.503151,0.0,1,66,end_of_capture
192.168.1.9,192.168.1.255,50382,15600,UDP,1789895314.735696,1789895314.735696,0.0,1,77,end_of_capture
192.168.1.9,239.255.255.250,54897,15600,UDP,1789895317.624969,1789895317.624969,0.0,1,77,end_of_capture
